id,acct_code,transaction_name,location,transaction_amount,x_amt1,x_amt2,transaction_date,x_date1,x_date2
1,200000006,China Unicom (Hong Kong) Ltd,United States,762508,259074,6449142,2023-01-03 16:42:23,2021-08-22 01:44:59,2023-03-20 15:45:41
2,100000004,MB Financial Inc.,Brazil,3125322,2418828,8794682,2020-11-23 05:56:28,2022-12-15 21:42:56,2022-04-16 01:37:40
3,100000007,"Corium International, Inc.",Philippines,5744879,762786,2225223,2023-12-26 04:02:36,2022-08-16 23:33:19,2022-07-20 09:53:12
4,100000005,"J.B. Hunt Transport Services, Inc.",Philippines,5263529,5009096,8297505,2023-07-24 01:20:51,2021-02-22 19:19:20,2021-12-25 04:09:00
5,200000005,Penn Virginia Corporation,Brazil,5939701,2948205,3614907,2022-08-04 05:46:09,2022-06-01 17:28:38,2022-03-01 05:02:00
6,100000005,Managed Duration Investment Grade Municipal Fund,Philippines,4176050,4893825,9790621,2023-01-17 22:05:18,2023-09-16 12:57:31,2021-01-10 18:11:52
7,100000007,Nuveen Senior Income Fund,Canada,2688824,6236752,4166573,2021-12-04 21:14:33,2020-11-30 03:31:33,2022-01-06 05:52:04
8,100000004,"Del Frisco's Restaurant Group, Inc.",United States,6256518,337303,6786703,2023-04-01 17:45:28,2020-11-28 21:35:22,2022-04-13 11:31:35
9,200000004,Regional Management Corp.,Canada,2563780,9355542,265917,2022-01-10 00:37:08,2020-12-06 17:57:03,2020-12-04 08:24:19
10,100000005,NorthStar Realty Europe Corp.,Brazil,4564685,8801192,6897941,2020-08-14 08:54:17,2020-07-09 05:25:14,2023-08-26 02:23:44
11,100000007,DTE Energy Company,Canada,1153788,7651359,9521735,2022-10-06 09:17:42,2022-10-28 15:18:05,2022-10-16 19:51:11
12,200000006,"Quad Graphics, Inc",Philippines,689737,1888002,4287784,2023-07-11 23:43:21,2021-07-06 15:35:27,2024-01-30 14:48:14
13,200000600,Good Times Restaurants Inc.,Brazil,4728592,7260770,6780997,2021-05-09 04:23:05,2020-03-09 15:44:22,2022-06-08 10:33:37
14,200000005,Luna Innovations Incorporated,Philippines,9814210,4410345,4143884,2021-12-05 09:13:01,2020-03-14 10:07:29,2020-05-02 00:45:23
